Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2024-11-24 05:20:08,USD -> BONE,USD,-10.0,BONE,17.65,USD,10.0,10.0,viban_purchase,
2024-10-16 22:02:52,Instant Buy Repayment,USD,-20.0,,,USD,20.0,20.0,viban_deposit_precredit_repayment,
2024-10-08 22:01:24,Instant Buy Repayment,USD,-30.0,,,USD,30.0,30.0,viban_deposit_precredit_repayment,
2024-10-05 04:51:46,Rewards+ Trading Rebate,CRO,0.12253703,,,USD,0.00974945763761191928293984534239,0.00974945763761191928293984534239,reward.loyalty_program.trading_rebate.crypto_wallet,
2024-10-05 04:01:07,Recurring Buy,USD,20.0,CRO,245.23549470553547163,USD,20.0,20.0,recurring_buy_order,
2024-10-04 07:07:39,Instant Buy Precredit,USD,20.0,,,USD,20.0,20.0,viban_deposit_precredit,
2024-09-30 22:02:27,Instant Buy Repayment,USD,-30.0,,,USD,30.0,30.0,viban_deposit_precredit_repayment,
2024-09-30 03:07:00,Withdraw DGB (DigiByte),DGB,-1728.0,,,USD,11.76914415812337670938445378751791,11.76914415812337670938445378751791,crypto_withdrawal,8f82619fcbcc265f673b3b098638d256890e8379a7fee7f23fbbc6397eecbf22
2024-09-28 04:55:36,Rewards+ Trading Rebate,CRO,0.11227105,,,USD,0.00975197879069410623038277349783,0.00975197879069410623038277349783,reward.loyalty_program.trading_rebate.crypto_wallet,
2024-09-28 04:04:31,Recurring Buy,USD,20.0,CRO,223.918171272838606462,USD,20.0,20.0,recurring_buy_order,
2024-09-27 04:12:52,Instant Buy Precredit,USD,30.0,,,USD,30.0,30.0,viban_deposit_precredit,
2024-09-21 11:06:18,USD -> XNO,USD,-8.0,XNO,8.39,USD,8.0,8.0,viban_purchase,
2024-09-21 05:05:53,Rewards+ Trading Rebate,CRO,0.11615606,,,USD,0.00971770560632307684740693413255,0.00971770560632307684740693413255,reward.loyalty_program.trading_rebate.crypto_wallet,
2024-09-21 04:05:16,Recurring Buy,USD,20.0,CRO,231.344274736742244569,USD,20.0,20.0,recurring_buy_order,
2024-09-19 05:30:37,USD -> CLOUD,USD,-2.0,CLOUD,5.25,USD,2.0,2.0,viban_purchase,
2024-09-19 05:28:38,Instant Buy Precredit,USD,30.0,,,USD,30.0,30.0,viban_deposit_precredit,
2024-09-18 22:04:34,Instant Buy Repayment,USD,-20.0,,,USD,20.0,20.0,viban_deposit_precredit_repayment,
2024-09-14 04:59:56,Rewards+ Trading Rebate,CRO,0.11855101,,,USD,0.00975191714563192661107878348887,0.00975191714563192661107878348887,reward.loyalty_program.trading_rebate.crypto_wallet,
2024-09-14 04:00:20,Recurring Buy,USD,20.0,CRO,236.806576386436613588,USD,20.0,20.0,recurring_buy_order,
2024-09-10 06:57:57,Withdraw WLD (ERC20),WLD,-60.03,,,USD,85.06992010315722208,85.06992010315722208,crypto_withdrawal,0xec0f87af98d8e13890d4e9d85c3c5825783abac9153f607f68e12bf6d5a49cf9
2024-09-09 02:56:50,Instant Buy Precredit,USD,20.0,,,USD,20.0,20.0,viban_deposit_precredit,
2024-09-01 07:48:40,Withdraw CRO (Cronos),CRO,-2500.0,,,USD,198.38995539999647643379145936717339,198.38995539999647643379145936717339,crypto_withdrawal,0x705b39d8351a0ae110828968b4a1409387500cc40bad74e83f549b772ff0518a
